h0,h,liquid
0.566,0.3421952536232635,gw40
0.575,0.3543145853597177,gw40
0.585,0.3675335077642288,gw40
0.594,0.3792148435333377,gw40
0.6040000000000001,0.3920247739226205,gw40
0.614,0.4046874125766112,gw40
0.624,0.4170186994230319,gw40
0.634,0.429130986864489,gw40
0.6449999999999999,0.4421632253967731,gw40
0.655,0.4538383087731331,gw40
0.666,0.4663144691405899,gw40
0.6769999999999999,0.4783592326660945,gw40
0.6880000000000001,0.4902219163823962,gw40
0.699,0.5015489566346442,gw40
0.7110000000000001,0.5136939986849127,gw40
0.722,0.5243162556621248,gw40
0.734,,gw40
0.746,,gw40
0.759,,gw40
0.771,,gw40
0.784,,gw40
0.796,,gw40
0.809,,gw40
0.823,,gw40
0.8360000000000001,,gw40
0.85,,gw40
0.864,,gw40
0.878,,gw40
0.892,,gw40
0.907,,gw40
0.9219999999999999,,gw40
0.937,,gw40
0.9520000000000001,,gw40
0.968,,gw40
0.9840000000000001,,gw40
1.0,,gw40
0.2,,gw60
0.203,,gw60
0.207,,gw60
0.21000000000000002,,gw60
0.213,,gw60
0.217,,gw60
0.22,,gw60
0.224,,gw60
0.228,0.036713565953286,gw60
0.232,0.0370212437702948,gw60
0.235,0.0377968590753034,gw60
0.23900000000000002,0.0401652434855109,gw60
0.243,0.0437863752209869,gw60
0.247,0.0447081058834794,gw60
0.251,0.0454990371407899,gw60
0.255,0.0469049343766271,gw60
0.259,0.0487823880751462,gw60
0.264,0.0521583173975397,gw60
0.268,0.0540005841320277,gw60
0.272,0.0547958722443827,gw60
0.277,0.0564467686754477,gw60
0.281,0.0583254089269709,gw60
0.28600000000000003,0.0614044518728916,gw60
0.29100000000000004,0.0640637935897697,gw60
0.29500000000000004,0.0649941564317538,gw60
0.3,0.0667487583763112,gw60
0.305,0.0692167574362539,gw60
0.31,0.07242551903569,gw60
0.315,0.0747600406685305,gw60
0.32,0.076448493092112,gw60
0.326,0.0795861274956526,gw60
0.331,0.0825135982809743,gw60
0.33599999999999997,0.0859069492146903,gw60
0.342,0.0881127190630492,gw60
0.348,0.0910603360324485,gw60
0.35300000000000004,0.0938657698568549,gw60
0.359,0.0980212742152888,gw60
0.365,0.100703065774968,gw60
0.371,0.1040712022826479,gw60
0.377,0.1081404617916877,gw60
0.383,0.1125611590451495,gw60
0.389,0.1158493359371341,gw60
0.39599999999999996,0.1206069984557346,gw60
0.402,0.1254298660784554,gw60
0.40900000000000003,0.1308443749288057,gw60
0.416,0.135758052838749,gw60
0.422,0.1406130355423293,gw60
0.429,0.1468454836808619,gw60
0.43600000000000005,0.1520836935873186,gw60
0.444,0.1592785270142769,gw60
0.451,0.1663442012974254,gw60
0.458,0.1724216553040586,gw60
0.46599999999999997,0.180298245209053,gw60
