,name,h0,h0ext,t,liquid,date,L
106,beet-11,0.38,0.402434508108127,5.461,beet,2024-11-12,25.9782
107,beet-11,0.468,0.49016830069224,2.352,beet,2024-11-12,25.2474
108,beet-12,0.327,0.297860900510412,28.364,beet,2024-11-12,24.2382
109,beet-12,0.366,0.397654711039824,4.697,beet,2024-11-12,23.8728
110,beet-12,0.518,0.547580228173447,1.234,beet,2024-11-12,24.7254
111,beet-13,0.314,0.259892907888128,38.735,beet,2024-11-12,25.3866
112,beet-13,0.352,0.335370772912735,8.381,beet,2024-11-12,24.6036
113,beet-13,0.369,0.394464022984361,0.0,beet,2024-11-12,25.404
114,beet-13,0.477,0.55652133565078,0.97,beet,2024-11-12,23.4552
115,beet-14,0.348,0.350602793052368,9.462,beet,2024-11-12,24.621
116,beet-14,0.41,0.482295137223403,0.851,beet,2024-11-12,23.7684
117,beet-14,0.499,0.51623106918785,1.332,beet,2024-11-12,23.1594
118,beet-15,0.289,0.25600841949664,109.5,beet,2024-11-12,21.3498
119,beet-15,0.332,0.334392870584825,8.401,beet,2024-11-12,21.9588
120,beet-15,0.393,0.454015544686246,1.602,beet,2024-11-12,21.75
121,beet-16,0.356,0.32367863370609,11.182,beet,2024-11-12,23.8206
122,beet-16,0.373,0.41961184760501,3.504,beet,2024-11-12,23.9772
123,beet-16,0.43,0.533608925445396,0.878,beet,2024-11-12,23.229
124,beet-17,0.333,0.320170922404891,13.772,beet,2024-11-12,26.430599999999995
125,beet-17,0.496,0.506691450058503,2.203,beet,2024-11-12,25.578
126,beet-18,0.379,0.363890306594336,4.624,beet,2024-11-12,25.578
127,beet-18,0.4,0.428838486626655,3.439,beet,2024-11-12,24.9342
128,beet-18,0.493,0.507455155161694,1.932,beet,2024-11-12,24.2556
129,beet-19,0.337,0.359610463302739,6.589,beet,2024-11-12,21.9414
130,beet-19,0.345,0.29934575615585,26.046,beet,2024-11-12,22.011
131,beet-19,0.403,0.426270929148737,1.813,beet,2024-11-12,23.9424
132,beet-19,0.477,0.493481248820087,2.262,beet,2024-11-12,23.6988
133,beet-20,0.321,0.281453014129505,25.871,beet,2024-11-12,23.4726
134,beet-20,0.372,0.34877088203498,9.416,beet,2024-11-12,23.8554
135,beet-20,0.393,0.422679337372646,2.462,beet,2024-11-12,23.2464
136,beet-20,0.436,0.480325276419039,1.475,beet,2024-11-12,24.0294
137,beet-2,0.292,0.224662747284792,100.0,beet,2024-11-12,21.5238
138,beet-2,0.346,0.349910968102185,5.99,beet,2024-11-12,22.1154
139,beet-2,0.395,0.370347495589525,3.749,beet,2024-11-12,22.7766
140,beet-2,0.452,0.440413018211457,1.997,beet,2024-11-12,22.7418
141,beet-3,0.322,0.325602280630541,24.554,beet,2024-11-12,21.2106
142,beet-3,0.485,0.481758017526867,1.432,beet,2024-11-12,20.6364
143,beet-4,0.3,0.368165896282625,3.619,beet,2024-11-12,19.749
144,beet-4,0.339,0.451314131891405,1.162,beet,2024-11-12,20.2536
145,beet-4,0.342,0.454346084883343,1.724,beet,2024-11-12,21.3672
146,beet-4,0.358,0.374169466045174,2.422,beet,2024-11-12,21.663
147,beet-4,0.404,0.339838919778618,4.375,beet,2024-11-12,20.7234
148,beet-5,0.281,0.222403364785632,131.3,beet,2024-11-12,22.0458
149,beet-5,0.312,0.319376178183019,10.966,beet,2024-11-12,22.0458
150,beet-5,0.369,0.381777759303619,6.1,beet,2024-11-12,22.9158
151,beet-6,0.332,0.412533829208247,2.607,beet,2024-11-12,20.097
152,beet-6,0.343,0.367839478041525,2.362,beet,2024-11-12,21.2628
153,beet-6,0.384,0.479763735558394,1.195,beet,2024-11-12,19.4532
154,beet-7,0.318,0.328910907709987,18.962,beet,2024-11-12,19.1226
155,beet-7,0.35,0.3567161931363,7.026,beet,2024-11-12,19.6968
156,beet-8,0.314,0.306186365861915,40.288,beet,2024-11-12,23.4726
157,beet-8,0.356,0.411145691445775,2.166,beet,2024-11-12,21.141
158,beet-8,0.406,0.474735498948734,1.103,beet,2024-11-12,20.0448
159,beet-8,0.471,0.518069676423503,1.516,beet,2024-11-12,22.602599999999995
160,beet-9,0.288,0.20824700037969,158.6,beet,2024-11-12,24.4122
161,beet-9,0.362,0.325984518004042,6.33,beet,2024-11-12,23.316
162,beet-9,0.371,0.39692344858301,1.846,beet,2024-11-12,23.925
163,beet-9,0.487,0.516052282140274,1.1,beet,2024-11-12,23.0202
164,gw60-10,0.278,0.301124880215331,31.421,gw60,2024-11-12,21.976199999999995
165,gw60-10,0.31,0.346082795852068,0.0,gw60,2024-11-12,22.4982
166,gw60-10,0.378,0.439868597007236,5.546,gw60,2024-11-12,23.5074
167,gw60-11,0.306,0.34068191540671,4.695,gw60,2024-11-12,20.7756
168,gw60-11,0.374,0.448224588885823,1.101,gw60,2024-11-12,22.2546
169,gw60-12,0.239,0.219708283412575,104.2,gw60,2024-11-12,25.1082
